measuring and mitigating unintended bias in text classification	introduce illustrate new approach measuring mitigating unintended bias machine learning models definition unintended bias parameterized test set subset input features illustrate used evaluate text classifiers using synthetic test set public corpus comments annotated toxicity wikipedia talk pages also demonstrate imbalances training data lead unintended bias resulting models therefore potentially unfair applications use set common demographic identity terms subset input features measure bias technique permits analysis common scenario demographic information authors readers unavailable bias mitigation must focus content text mitigation method introduce unsupervised approach based balancing training dataset demonstrate approach reduces unintended bias without compromising overall model quality	positive	0
value alignment, fair play, and the rights of service robots	ethics safety research artificial intelligence increasingly framed terms `` alignment '' human values interests argue turing 's call `` fair play machines '' early often overlooked contribution alignment literature turing 's appeal fair play suggests need correct human behavior accommodate machines surprising inversion value alignment treated today reflections `` fair play '' motivate novel interpretation turing 's notorious `` imitation game '' condition intelligence instead value alignment machine demonstrates minimal degree alignment norms conversation instance go undetected interrogated human carefully distinguish interpretation moral turing test motivated principle fair play instead depends imitation human moral behavior finally consider framework fair play used situate debate robot rights within alignment literature argue extending rights service robots operating public spaces `` fair '' precisely sense encourages alignment interests humans machines	positive	0
regulating artificial intelligence: proposal for a global solution	given ubiquity artificial intelligence ai modern societies clear individuals corporations countries grappling legal ethical issues use global problems require global solutions propose establishment international ai regulatory agency -- drawing interdisciplinary expertise -- could create unified framework regulation ai technologies inform development ai policies around world urge organization developed deliberate haste issues cryptocurrencies personalized political ad hacking autonomous vehicles autonomous weaponized agents already reality affecting international trade politics war	positive	0
using education as a model to capture good-faith effort for autonomous systems	multiprocess environments comprising several intercommunicating lisp systems straightforward implement due certain fundamental characteristics lisp language experiences four methods establishing necessary communications linkages described features lisp support experimentation interprocess communication identified two key characteristics language important regard 1. lisp programs construct interpret new code run 2. structures within lisp systems accessible name flexible communication methods use ordinary lisp input output functions supplemented small amount system-dependent code create communication linkages treated lisp file structures	positive	0
exploiting moral values to choose the right norms	norms constitute regulative mechanisms extensively enacted groups organisations societies however 'choosing right norms establish constitutes open problem requires consideration number constraints norm relations preference criteria e.g involved moral values paper advances state art normative multiagent systems literature formally defining problem proposing encoding linear program automatically solved	positive	0
 software malpractice in the age of ai: a guide for the wary tech company	professional malpractice concept heightened duties entrusted special knowledge crucial tasks rooted history yet since dawn computer age courts united states almost universally rejected theory software malpractice declining hold software engineers professional standards doctors lawyers engineers changing however speed software based artificial intelligence technologies replacing professionals already subject professional liability society already decided cases millennia ago tasks warrant special accountability new analysis human closest line adverse event ai expands pressure courts go one level causal chain search human agency professional accountability mount essay analyzes case law rejecting software malpractice clues doctrine might go age ai discusses technology companies learn safety enhancements doctors lawyers historic professionals adapted heightened legal scrutiny years	positive	0
non-discriminatory machine learning through convex fairness criteria	introduce novel technique achieve non-discrimination machine learning without sacrificing convexity probabilistic interpretation also propose new notion fairness machine learning called weighted proportional fairness show technique satisfies subjective fairness criterion	positive	0
 fair forests: regularized tree induction to minimize model bias	potential lack fairness outputs machine learning algorithms recently gained attention within research community well society broadly surprisingly prior work developing tree-induction algorithms building fair decision trees fair random forests methods widespread popularity one simultaneously interpretable non-linear easy-to-use paper develop knowledge first technique induction fair decision trees.we show `` fair forest '' retains benefits tree-based approach providing greater accuracy fairness alternatives `` group fairness '' `` individual fairness '' also introduce new measures fairness able handle multinomial continues attributes well regression problems opposed binary attributes labels finally demonstrate new robust evaluation procedure algorithms considers dataset entirety rather specific protected attribute	positive	0
 a framework for grounding the moral status of intelligent machines	propose framework derived moral theory assessing moral status intelligent machines using framework claim current foreseeable intelligent machines approximately much moral status plants trees environmental entities claim raises question obligations could moral agent e.g. normal adult human toward intelligent machine propose threshold moral obligation `` functional morality '' wallach allen 20 upper limit obligations exceed upper limit obligations toward plants trees environmental entities	positive	0
rethinking ai strategy and policy as entangled super wicked problems	paper attempts preliminary analysis general approach ai strategy/policy research lens wicked problems literature wicked problems class social policy problems traditional methods resolution fail super wicked problems refer even complex social policy problems e.g climate change first propose hierarchy three classes ai strategy/policy problems wicked super wicked problems next identify three independent super wicked problems ai strategy/policy propose significant challenges development safe beneficial artificial general intelligence significantly complex nuanced thus posing new degree 'wickedness explore analysis techniques addressing wicked problems super wicked problems leads discussion implications ideas problems ai strategy/policy	positive	0
