rethinking ai strategy and policy as entangled super wicked problems	paper attempts preliminary analysis general approach ai strategy/policy research lens wicked problems literature wicked problems class social policy problems traditional methods resolution fail super wicked problems refer even complex social policy problems e.g climate change first propose hierarchy three classes ai strategy/policy problems wicked super wicked problems next identify three independent super wicked problems ai strategy/policy propose significant challenges development safe beneficial artificial general intelligence significantly complex nuanced thus posing new degree 'wickedness explore analysis techniques addressing wicked problems super wicked problems leads discussion implications ideas problems ai strategy/policy	positive	0
fairness in deceased organ matching	algorithms given responsibility make decisions impact lives increasing awareness need ensure fairness decisions one first challenges decide fairness means particular context consider fairness deciding match organs donated deceased donors patients due increasing age patients waiting list organs donated current `` first come first served '' mechanism used australia review take account age patients organs consider revise mechanism take account age fairly identify number different types fairness patients regions blood types consider achieved	positive	0
using education as a model to capture good-faith effort for autonomous systems	multiprocess environments comprising several intercommunicating lisp systems straightforward implement due certain fundamental characteristics lisp language experiences four methods establishing necessary communications linkages described features lisp support experimentation interprocess communication identified two key characteristics language important regard 1. lisp programs construct interpret new code run 2. structures within lisp systems accessible name flexible communication methods use ordinary lisp input output functions supplemented small amount system-dependent code create communication linkages treated lisp file structures	positive	0
speaking on behalf of: representation, delegation, and authority in computational text analysis	computational tools often facilitate human work rapidly summarizing large amounts data especially text delegates models measure authority speak behalf people whose data analyzed paper considers consequences delegation draws sociological accounts representation translation examine one particular case application topic modeling blogs written parents children autism spectrum paper illustrates kinds statements topic models computational techniques make behalf people also articulates potential consequences statements paper concludes offering several suggestions address potential harms occur computational models speak behalf someone	positive	0
ai + art = human	past years specialised online offline press blossomed articles art made `` '' artificial intelligence ai narrative rapidly changing fact october 2018 auction house christie 's sold art piece allegedly made `` '' ai draw philosophy art science arguing ai technical object always intertwined human nature despite level autonomy however use creative autonomous agents cultural social implications way experience art creators well audience therefore highlight importance interdisciplinary dialogue promoting culture transparency technology used awareness meaning technology society value creativity lives	positive	0
the role and limits of principles in ai ethics: towards a focus on tensions	last years seen proliferation principles ai ethics substantial overlap different sets principles widespread agreement ai used common good used harm people undermine rights respect widely held values fairness privacy autonomy articulating agreeing principles important starting point drawing comparisons field bioethics highlight limitations principles particular often broad high-level guide ethics practice suggest important next step field ai ethics focus exploring tensions inevitably arise try implement principles practice explicitly recognising tensions begin make decisions resolved specific cases develop frameworks guidelines ai ethics rigorous practically relevant discuss different specific ways tensions arise ai ethics processes might needed resolve	positive	0
degenerate feedback loops in recommender systems	machine learning used extensively recommender systems deployed products decisions made systems influence user beliefs preferences turn affect feedback learning system receives thus creating feedback loop phenomenon give rise so-called `` echo chambers '' `` filter bubbles '' user societal implications paper provide novel theoretical analysis examines role user dynamics behavior recommender systems disentangling echo chamber filter bubble effect addition offer practical solutions slow system degeneracy study contributes toward understanding developing solutions commonly cited issues complex temporal scenario area still largely unexplored	positive	0
meta-descent for online, continual prediction	paper investigates different vector step-size adaptation approaches non-stationary online continual prediction problems vanilla stochastic gradient descent considerably improved scaling update vector appropriately chosen step-sizes many methods including adagrad rmsprop amsgrad keep statistics learning process approximate second order update—a vector approximation inverse hessian another family approaches use meta-gradient descent adapt stepsize parameters minimize prediction error metadescent strategies promising non-stationary problems extensively explored quasi-second order methods first derive general incremental metadescent algorithm called adagain designed applicable much broader range algorithms including semi-gradient updates even accelerations rmsprop provide empirical comparison methods families conclude methods families perform well non-stationary prediction problems meta-descent methods exhibit advantages method particularly robust across several prediction problems competitive state-of-the-art method large-scale time-series prediction problem real data mobile robot	negative	6.436323330693995
compensation at the crossroads: autonomous vehicles and alternative victim compensation schemes	last five years small growing number vehicle accidents involving fully partially autonomous vehicles raised new profoundly novel legal issue liable anyone victims compensated vehicle controlled algorithm rather human driver causes injury answer question implications far beyond resolution individual autonomous vehicle crash cases whether american legal system capable handling cases fairly efficiently implicates likelihood consumers adopt autonomous vehicles b rate implications concern law policy makers immensely autonomous cars stand drastically reduce number fatalities injuries u.s. roadways-and virtually every scholar believes will-getting adjudication compensation aspect autonomous vehicle injuries `` wrong '' speak risks stymieing adoption technology leaving americans risk dying hands human drivers	positive	0
hypergraph optimization for multi-structural geometric model fitting	recently hypergraph-based methods proposed deal problem model fitting computer vision mainly due superior capability hypergraph represent complex relationship data points however hypergraph becomes extremely complicated input data include large number data points usually contaminated noises outliers significantly increase computational burden order overcome problem propose novel hypergraph optimization based model fitting homf method construct simple effective hypergraph specifically homf includes two main parts adaptive inlier estimation algorithm vertex optimization iterative hyperedge optimization algorithm hyperedge optimization proposed method highly efficient obtain accurate model fitting results within iterations moreover homf directly apply spectral clustering achieve good fitting performance extensive experimental results show homf outperforms several state-of-the-art model fitting methods synthetic data real images especially sampling efficiency handling data severe outliers	negative	5.987732458626851
