,conference_year,category,title,author,abstract,download_url,keywords
0,2000,Contents,AAAI Organization,AAAI,List of the officers and staff of AAAI in 2000.,https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-217.pdf,
1,2000,Contents,Outstanding Paper Award,AAAI,List of the AAAI and IAAI 2000 program committees.,https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-218.pdf,
2,2000,Contents,Outstanding Paper Award,AAAI,Outstanding papers from the AAAI-2000 conference.,https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-219.pdf,
3,2000,Contents,Sponsoring Organizations,AAAI,List of sponsors of the AAAI-2000 conference.,https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-220.pdf,
4,2000,Contents,Preface,Henry Kautz and Bruce Porter,Preface to the AAAI-2000 proceedings.,https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-216.pdf,
5,2000,Contents,Invited Talks,AAAI,Abstracts of the AAAI-2000 invited talks.,https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-221.pdf,
6,2000,Agents,Inter-Layer Learning Towards Emergent Cooperative Behavior,,"As applications for artificially intelligent agents increase in complexity, we can no longer rely on clever heuristics and hand-tuned behaviors to develop their programming. Even the interaction between various components cannot be reduced to simple rules, as the complexities of realistic dynamic environments become unwieldy to characterize manually. To cope with these challenges, we propose an architecture for inter-layer learning consisting of three tiers: basic skills, individual strategy, and team strategy, each of which can be constructed using machine learning techniques, incorporating the skills developed in the previous layer. Using RoboCup soccer as a testbed, we demonstrate the potential of this architecture for the development of effective, cooperative, multi-agent systems. First, individual basic skills are developed and refined in isolation through neural networks and reinforcement learning techniques, and then, the interaction between these skills at higher layers is also learned. Finally, reinforcement learning is applied to emergent cooperative behaviour between the teammates. The inter-layer learning architecture provides an explicit learning model for deciding individual and cooperative tactics in a dynamic environment and proved to be promising in real-time competition.",https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-001.pdf,
7,2000,Agents,Coordination Failure and Congestion in Information Networks,"A. M. Bell, NASA Ames Research Center; W. A. Sethares and J. A. Bucklew, University of Wisconsin-Madison","Coordination failure, or agents’ uncertainty about the action of other agents, may be an important source of congestion in large decentralized systems. The market entry game studied by experimental economists and the El Farol problem proposed by W. Brian Arthur provide a simple paradigm for congestion and coordination problems that may arise with over utilization of the Internet. This paper reviews the market entry game and the El Farol problem and surveys previous approaches, which typically involve complex deterministic learning algorithms that exhibit chaotic-like trajectories. This paper recasts the problem in a stochastic framework and derives a simple adaptive strategy that has intriguing optimization properties; a large collection of decentralized decision makers, each acting in their own best interests and with limited knowledge, converge to a solution that (optimally) solves a complex congestion and social coordination problem. A variation in which agents are allowed access to full information is not nearly as successful. The algorithm, which can be viewed as a kind of habit formation, is analyzed using a weak convergence approach, and simulations illustrate the major results.",https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-002.pdf,
8,2000,Agents,Non-Deterministic Social Laws,"Michael H. Coen, MIT Artificial Intelligence Lab","The paper generalizes the notion of a social law, the foundation of the theory of artificial social systems developed for coordinating Multi-Agent Systems. In an artificial social system, its constituent agents are given a common social law to obey and are free to act within the confines it legislates, which are carefully designed to avoid inter-agent conflict and deadlock. In this paper, we argue that social laws can be overly restrictive in that they indiscriminately apply to all distributions of agent behavior, even when the probability of conflicting conditions arising is acceptably small. We define the notion of a non-deterministic social law applicable to a family of probability distributions that describe the expected behaviors of a system’s agents. We demonstrate that taking these distributions into account can lead to the formulation of more efficient social laws and the algorithms that adhere to them. We illustrate our approach with a traffic domain problem and demonstrate its utility through an extensive series of simulations.",https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-003.pdf,
9,2000,Agents,Solving Combinatorial Auctions Using Stochastic Local Search,"Holger H. Hoos, University of British Columbia; Craig Boutilier, University of Toronto","Combinatorial auctions (CAs) have emerged as an important model in economics and show promise as a tool for resource allocation in AI. Unfortunately, winner determination for CAs is NP-hard and recent algorithms have difficulty with problems involving goods and bids beyond the hundreds. In this paper we apply a new stochastic local search algorithm, Casanova, to this problem. We demonstrate that it finds high quality (even optimal) solutions much faster than recently proposed methods (in many cases several orders of magnitude), particularly for large problems. In addition, we propose a logical language for naturally expressing combinatorial bids in which a single logical bid corresponds to a large (often exponential) number of explicit bids. We show that Casanova performs much better than systematic methods on such problems as well.",https://aaai.org/Library/AAAI/2000/../../../Papers/AAAI/2000/AAAI00-004.pdf,
