,conference_year,category,title,author,abstract,download_url,keywords
0,1996,Contents,Preface,"Dan Weld, Bill Clancey, Usama M. Fayyad, Howard Shrobe",Preface to the AAAI-96 and IAAI-96 proceedings.,https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-292.pdf,
1,1996,Contents,AAAI Organization,Carol Hamilton,List of officiations of the American Association for Artificial Intelligence.,https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-293.pdf,
2,1996,Contents,AAAI–96 Program Committee,"Dan Weld, Bill Clancey",List of organizers of the AAAI–96 Conference.,https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-294.pdf,
3,1996,Contents,AAAI–96 Best Paper Awards,"Dan Weld, Bill Clancey",AAAI-96 Conference best paper awards.,https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-295.pdf,
4,1996,Interaction,Agent Amplified Communication,"Henry Kautz, Bart Selman, Al Milewski","We propose an agent-based framework for assisting and simplifying person-to-person communication for information gathering tasks. As an example, we focus on locating experts for any specified topic. In our approach, the informal person-to-person networks that exist within an organization are used to ""referral chain"" requests for expertise. User-agents help automate this process. The agents generate referrals by analyzing records of email communication patterns. Simulation results show that the higher responsiveness of an agent-based system can be effectively traded for the higher accuracy of a completely manual approach. Furthermore, preliminary experience with a group of users on a prototype system has shown that useful automatic referrals can be found in practice. Our experience with actual users has also shown that privacy concerns are central to the successful deployment of personal agents: an advanced agent-based system will therefore need to reason about issues involving trust and authority.",https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-001.pdf,
5,1996,Interaction,The ContactFinder Agent: Answering Bulletin Board Questions with Referrals,"Bruce Krulwich, Chad Burkey","ContactFinder is an intelligent agent whose approach to assisting users is valuable and innovative in the following four ways. First, ContactFinder operates proactively in reading and responding to messages on electronic bulletin boards rather than acting in response to user queries. Second, ContactFinder assists users by referring them to other people who can help them, rather than attempting to find information that directly answers the user’s specific question. Third, ContactFinder categorizes messages and extracts their topic areas using a set of heuristics that are very efficient and demonstrably highly effective. Fourth, ContactFinder posts its referrals back to the bulletin boards rather than simply communicating with specific users, to increase the information density and connectivity of the system. This paper discusses these aspects of the system and demonstrates their effectiveness in over six months of use on a large-scale internal bulletin board.",https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-002.pdf,
6,1996,Interaction,Deciding to Remind during Collaborative Problem Solving: Empirical Evidence for Agent Strategies,"Pamela W. Jordan, Marilyn A. Walker","Previous work suggests that reminding a conversational partner of mutually known information depends on the conversants’ attentional state, their resource limits and the resource demands of the task. In this paper, we propose and evaluate several models of how an agent decides whether or not to communicate a reminder. We elaborate on previous findings by exploring how attentional state and resource bounds are incorporated into the decision making process so that reminders aid the performance of agents during collaborative problem solving. We test two main hypotheses using a multi-agent problem solving simulation testbed: (1) an agent decides to present salient knowledge only when it reduces overall problem solving effort (2) an agent can use its own attentional state as a model of the attentional state of its partner when assessing the effort trade-offs of communicating a reminder. Our results support both hypotheses, suggesting that the models we propose should be further tested for multi-agent communication in problem solving situations.",https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-003.pdf,
7,1996,Interaction,Toward a Semantics for an Agent Communications Language Based on Speech-Acts,"Ira A. Smith, Philip R. Cohen","Systems based on distributed agent architectures require an agent communications language having a clearly defined semantics. This paper demonstrates that a semantics for an agent communications language can be founded on the premise that agents are building, maintaining, and disbanding teams through their performance of communicative acts. This view requires that definitions of basic communicative acts, such as requesting, be recast in terms of the formation of a joint intention - a mental state that has been suggested underlies team behavior. To illustrate these points, a semantics is developed for a number of communication actions that can form and dissolve teams. It is then demonstrated how much of the structure of popular finite-state dialogue models, such as Winograd and Flores’ basic conversation for action, follows as a consequence of the logical relationships that are created by the redefined communicative actions.",https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-004.pdf,
8,1996,Internet Agents,Planning to Gather Information,"Chung T. Kwok, Daniel S. Weld","We describe Occam, a query planning algorithm that determines the best way to integrate data from different sources. As input, Occam takes a library of site descriptions and a user query. As output, Occam automatically generates one or more plans that encode alternative ways to gather the requested information. Occam has several important features: (1) it integrates both legacy systems and full relational databases with an efficient, domain-independent, query-planning algorithm, (2) it reasons about the capabilities of different information sources, (3) it handles partial goal satisfaction i.e., gathers as much data as possible when it can’t gather exactly all that the user requested, (4) it is both sound and complete, (5) it is efficient. We present empirical results demonstrating Occam’s performance on a variety of information gathering tasks.",https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-005.pdf,
9,1996,Internet Agents,Query-Answering Algorithms for Information Agents,"Alon Y. Levy, Anand Rajaraman, Joann J. Ordille","We describe the architecture and query-answering algorithms used in the Information Manifold, an implemented information gathering system that provides uniform access to structured information sources on the World-Wide Web. Our architecture provides an expressive language for describing information sources, which makes it easy to add new sources and to model the fine-grained distinctions between their contents. The query-answering algorithm guarantees that the descriptions of the sources are exploited to access only sources that are relevant to a given query. Accessing only relevant sources is crucial to scale up such a system to large numbers of sources. In addition, our algorithm can exploit run-time information to further prune information sources and to reduce the cost of query planning.",https://aaai.org/Library/AAAI/1996/../../../Papers/AAAI/1996/AAAI96-006.pdf,
