,conference_year,category,title,author,abstract,download_url,keywords
0,1987,AI Architectures,Recent Developments in Butterfly(TM) Lisp,"Donald C. Allen, Seth A. Steinberg, and Lawrence A. Stabile","This paper describes recent enhancements to the Common Lisp system that BBN is developing for its Butterfly multiprocessor. The BBN Butterfly is a shared memory multiprocessor that contains up to 256 processor nodes. The system provides a shared heap, parallel garbage collector, and window based I/Q system. The ""future"" construct is used to specify parallelism.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-001.pdf,
1,1987,AI Architectures,CCLISPTM on the iPSC(TM) Concurrent Computer,"David Billstrom, Joseph Brandenburg, John Teeter","Concurrent Common LISPTM (CCLISP) is the LISP environment for the iPSCm system, the Intel Personal SuperComputer. CCLISP adds message-passing communication and other constructs to the Common LISP environment on each processor node. The iPSC system is configured with Intel 80286 processor nodes, in systems ranging from 8 to 128 nodes. Performance on a per node basis roughly equivalent to AI workstation LISP performance is discussed, as are the implementation details of the CCLISP language constructs.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-002.pdf,
2,1987,AI Architectures,A Parallel Resolution Procedure Based on Connection Graph,"P. Daniel Cheng, J. Y. Juang","In this paper, we present a new approach towards a parallel resolution procedure which explores another dimension of parallelism in addition to the AND/OR formulation and special hardware constructs. The approach organizes the input clauses of a problem domain into a connection graph. The connection graph is then partitioned and each partition is worked on by a different processor of a multiprocessor system. These processors execute the resolution procedure independently on its partition, and exchange intermediate results via clause migrations. Preliminary test results and qualitative assessments of this procedure are also given.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-003.pdf,
3,1987,AI Architectures,"Achieving Flexibility, Efficiency, and Generality in Blackboard Architectures","Daniel D. Corkill, Kevin Q. Gallagher, Philip M. Johnson","Achieving flexibility and efficiency in blackboard-based AI applications are often conflicting goals. Flexibility, the ability to easily change the blackboard representation and retrieval machinery, can be achieved by using a general purpose blackboard database implementation, at the cost of efficient performance for a particular application. Conversely, a customized blackboard database implementation, while efficient, leads to strong interdependencies between the application code (knowledge sources) and the blackboard database implementation. Both flexibility and efficiency can be achieved by maintaining a sufficient level of data abstraction between the application code and the blackboard implementation. The abstraction techniques we present are a crucial aspect of the generic blackboard development system GBB. Applied in concert, these techniques simultaneously provide flexibility, efficiency, and sufficient generality to make GBB an appropriate blackboard development tool for a wide range of applications.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-004.pdf,
4,1987,AI Architectures,Forward Chaining Logic Programming with the ATMS,"Nicholas S. Flann, Thomas G. Dietterich, Dan R. Corpron","Two powerful reasoning tools have recently appeared, logic programming and assumption-based truth maintenance systems (ATMS). An ATMS offers significant advantages to a problem solver: assumptions are easily managed and the search for solutions can be carried out in the most general context first and in any order. Logic programming allows us to program a problem solver declaratively-describe what the problem is, rather than describe how to solve the problem. However, we are currently limited when using an ATMS with our problem solvers, because we are forced to describe the problem in terms of a simple language of forward implications. In this paper we present a logic programming language, called FORLOG, that raises the level of programming the ATMS to that of a powerful logic programming language. FORLOG supports the use of ""logical variables"" and both forward and backward reasoning. FORLOG programs are compiled into a data-flow language (similar to the RETE network) that efficiently implements deKleer’s consumer architecture. FORLOG has been implemented in Interlisp-D.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-005.pdf,
5,1987,AI Architectures,Integrating Diverse Reasoning Methods in the BB1 Blackboard Control Architecture,"M. Vaughan Johnson, Jr., Barbara Hayes-Roth",The BB1 blackboard control architecture has been proposed to enable systems to integrate diverse reasoning methods to control their own actions. Previous work has shown BB1’s ability to integrate hierarchical planning and opportunistic focusing. We show how it can integrate goal-directed reasoning as well and demonstrate these capabilities in the PROTEAN system. We also compare BB1 with alternative control architectures.,https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-006.pdf,
6,1987,AI Architectures,A Multiprocessor Architecture for Production System Matching,"Michael A. Kelly, Rudolph E. Seviora","This paper presents a new, highly parallel algorithm for OPS5 production system matching, and a multiprocessor architecture to support it. The algorithm is based on a partitioning of the Rete algorithm at the comparison level, suitable for execution on an array of several hundred processing elements. The architecture provides an execution environment which optimizes the algorithm’s performance. Analysis of existing production systems and results of simulations indicate that an increase in match speed of two orders of magnitude or more over current implementations is possible.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-007.pdf,
7,1987,AI Architectures,TREAT: A Better Match Algorithm for AI Production Systems,Daniel P. Miranker,"This paper presents the TREAT match algorithm for AI production systems. The TREAT algorithm introduces a new method of state saving in production system interpreters called conflict-set support. Also presented are the results of an empirical study comparing the performance of the TREAT match with the commonly assumed best algorithm for this problem, the RETE match. On five different OPS5 production system programs TREAT outperformed RETE, often by more than fifty percent. This supports an unsubstantiated conjecture made by McDermott, Newell and Moore, that the state saving mechanism employed in the RETE match, condition-element support, may not be worthwhile.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-008.pdf,
8,1987,AI Architectures,"Joshua: Uniform Access to Heterogeneous Knowledge Structures, or, Why Joshing Is Better than Conniving or Planning","Steve Rowley, Howard Shrobe, Robert Cassels, Walter Hamscher","This paper presents Joshua, a system which provides syntactically uniform access to heterogeneously implemented knowledge bases. Its power comes from the observation that there is a Protocol of Inference consisting of a small set of abstract actions, each of which can be implemented in many ways. We use the object-oriented programming facilities of Flavors to control the choice of implementation. A statement is an instance of a class identified with its predicate. The steps of the protocol are implemented by methods inherited from the classes. Inheritance of protocol methods is a compile-time operation, leading to very fine-grained control with little run-time cost. Joshua has two major advantages: First, a Joshua programmer can easily change his program to use more efficient data structures without changing the rule set or other knowledge-level structures. We show how we thus sped up one application by a factor of 3. Second, it is straightforward to build an interface which incorporates an existing tool into Joshua, without modifying the tool. We show how a different TMS, implemented for another system, was thus interfaced to Joshua.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-009.pdf,
9,1987,AI Architectures,CP as a General-Purpose Constraint-Language,Vijay A. Saraswat,"In this paper we present the notion of concurrent, controllable constraint systems. We argue that purely declarative search formalisms, whether they are based on dependency-directed backtracking (as in Steele [Steele, 1980] or Bruynooghe [Bruynooghe and Pereira, 1985]) or bottom-up breadth-first (albeit incremental) definite clause theorem provers (as in deKleer’s ATM approach [deKleer, 1986]) or built-in general purpose heuristics (as in Laurier’s work [Lauriere, 1978]) are unlikely to be efficient enough to serve as the basis of a general purpose programming formalism which supports the notion of constraint-based computation. To that end we propose the programming language CP[!,1,&], based on the concurrent interpretation of definite clauses, which allows the user to express domain-specific heuristics and control the forward search process based on eager propogation of constraints and early detection of determinacy and contradiction. This control follows naturally from the alternate metaphor of viewing constraints as processes that communicate by exchanging messages. The language, in addition, allows for the dynamic generation and hierarchical specification of constraints, for concurrent exploration of alternate solutions, for pruning and merging sub-spaces and for expressing preferences over which portions of the search space to explore next.",https://aaai.org/Library/AAAI/1987/../../../Papers/AAAI/1987/AAAI87-010.pdf,
