,conference_year,category,title,author,abstract,download_url,keywords
0,1990,"ConstraintSatisfaction Problems",Complexity of K-Tree Structured Constraint Satisfaction Problems,Eugene C. Freuder,"Trees have played a key role in the study of constraint satisfaction problems because problems with tree structure can be solved efficiently. It is shown here that a family of generalized trees, k-trees, can offer increasing representational complexity for constraint satisfaction problems, while maintaining a bound on computational complexity linear in the number of variables and exponential in k. Additional results are obtained for larger classes of graphs known as partial k-trees. These methods may be helpful even when the original problem does not have k-tree or partial k-tree structure. Specific tradeoffs are suggested between representational power and computational complexity.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-001.pdf,
1,1990,"ConstraintSatisfaction Problems",Tree Decomposition with Applications to Constraint Processing,"Itay Meiri, Rina Dechter, Judea Pearl","This paper concerns the task of removing redundant information from a given knowledge base, and restructuring it in the form of a tree, so as to admit efficient problem solving routines. We offer a novel approach which guarantees the removal of all redundancies that hide a tree structure. We develop a polynomial time algorithm that, given an arbitrary constraint network, generates a precise tree representation whenever such a tree can be extracted from the input network, otherwise, the fact that no tree representation exists is acknowledged, and the tree generated may serve as a good approximation to the original network.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-002.pdf,
2,1990,"ConstraintSatisfaction Problems",Solving Large-Scale Constraint Satisfaction and Scheduling Problems Using a Heuristic Repair Method,"Steven Minton, Mark D. Johnston, Andrew B. Philips, Philip Laird","This paper describes a simple heuristic method for solving large-scale constraint satisfaction and scheduling problems. Given an initial assignment for the variables in a problem, the method operates by searching though the space of possible repairs. The search is guided by an ordering heuristic, the min-conflicts heuristic, that attempts to minimize the number of constraint violations after each step. We demonstrate empirically that the method performs orders of magnitude better than traditional backtracking techniques on certain standard problems. For example, the one million queens problem can be solved rapidly using our approach. We also describe practical scheduling applications where the method has been successfully applied. A theoretical analysis is presented to explain why the method works so well on certain types of problems and to predict when it is likely to be most effective.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-003.pdf,
3,1990,"ConstraintSatisfaction Problems",Dynamic Constraint Satisfaction Problems,"Sanjay Mittal, Brian Falkenhainer","Constraint satisfaction (CSP) is a powerful and extensively used framework for describing search problems. A CSP is typically defined as the problem of finding consistent assignment of values to a fixed set of variables given some constraints over these variables. However, for many synthesis tasks such as configuration and model composition, the set of variables that are relevant to a solution and must be assigned values changes dynamically in response to decisions made during the course of problem solving. In this paper, we formalize this notion as a dynamic constraint satisfaction problem that uses two types of constraints. Compatibility constraints correspond to those traditionally found in CSPs, namely, constraints over the values of variables. Activity constraints describe conditions under which a variable may or may not be actively considered as a part of a final solution. We present a language for expressing four types of activity constraints in terms of variable values and variables being considered. We then describe an implemented algorithm that enables tight interaction between constraints about variable activity and constraints about variable values. The utility of this approach is demonstrated for configuration and model composition tasks.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-004.pdf,
4,1990,"ConstraintSatisfaction Problems",The Complexity of Constraint Satisfaction in Prolog,Bernard A. Nadel,"We obtain here the complexity of solving a type of Prolog problem which Genesereth and Nilsson have called sequential constraint satisfactrlon. Such problems are of direct relevance to relational database retrieval as well as providing a tractable first step in analyzing Prolog problem-solving in the general case. The present paper provides the first analytic expressions for the expected complexity of solving sequential constraint satisfaction problems. These expressions provide a basis for the formal derivation of heuristics for such problems, analogous to the theory-based heuristics obtained by the author for traditional constraint satisfaction problem-solving. A first application has been in providing a formal basis for Warren’s heuristic for optimally ordering the goals in a conjunctive query. Due to the incorporation of ""constraint looseness"" into the analysis, the expected complexity obtained here has the useful property that it is usually quite accurate even for individual problem instances, rather than only for the assumed underlying problem class as a whole. Heuristics based on these results can be expected to be equally instance-specific. Preliminary results for Warren’s heuristic have shown this to be the case.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-005.pdf,
5,1990,"ConstraintSatisfaction Problems",An Algebraic Approach to Conflict Resolution in Planning,Qiang Yang,"This paper presents an algebra for conflict resolution in nonlinear planning. A set of conflicts in a plan is considered as a constraint network. Each node in the network represents a conflict, and is associated with a set of alternative ways for resolving it. Thus, resolving conflicts in a plan corresponds to selecting a set of consistent resolution methods so that, after they are applied to the plan, every conflict can be removed. The paper discusses the representional issues related to the conflict resolution, presents an algebra for resolving conflicts, and illustrates that some modified algorithms for preprocessing networks of constraints can greatly enhance the efficiency of conflict resolution.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-006.pdf,
6,1990,"ConstraintSatisfaction Problems",Some Applications of Graph Bandwidth to Constraint Satisfaction Problems,Ramin Zabih,"Bandwidth is a fundamental concept in graph theory which has some surprising applications to a class of AI search problems. Graph bandwidth provides a link between the syntactic structure of a constraint satisfaction problem (CSP) and the complexity of the underlying search task. Bandwidth can be used to define a new class of easy CSP’s, namely those that have limited constraint graph bandwidth. These CSP’s can be solved in polynomial time, essentially by divide and conquer. This in turn suggests that bandwidth provides a mathematical measure of the decomposability of a search problem. In addition, bandwidth supplies a measure for comparing different search orderings for a given CSP. Statistical analysis suggests that backtracking with small bandwidth orderings leads to a more efficient search than that obtained under orderings with larger bandwidths. Small bandwidth orderings also limit the pruning that can be done by intelligent backtracking. If small bandwidth orderings are indeed advantageous, then a large number of heuristics developed in numerical analysis to find such orderings may find applicability to solving constraint satisfaction problems.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-007.pdf,
7,1990,"Distributedand Parallel Systems",An Organizational Approach to Adaptive Production Systems,"Toru Ishida, Makoto Yokoo, Les Gasser","Recently-developed techniques have improved the performance of production systems several times over. However, these techniques are not yet adequate for continuous problem solving in a dynamically changing environment. To achieve adaptive real-time performance in such environments, we use an organization of distributed production system agents, rather than a single monolithic production system, to solve problems. Organization self-design is performed to satisfy real-time constraints and to adapt to changing resource requirements. When overloaded, individual agents decompose themselves to increase parallelism, and when the load lightens the agents compose with each other to free hardware resources. In addition to increased performance, generalizations of our composition/decomposition approach provide several new directions for organization self-design, a pressing concern in Distributed AI.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-008.pdf,
8,1990,"Distributedand Parallel Systems",The Design of a Marker Passing Architecture for Knowledge Processing,"Wing Lee, Dan Moldovan","Knowledge processing is very demanding on computer architectures. Knowledge processing generates subcomputation paths at an exponential rate. It is memory intensive and has high communication requirements. Marker passing architectures are good candidates to solve knowledge processing problems. In this paper, we justify the design decisions made for the Semantic Network Array Processor (SNAP). Important aspects of SNAP are: the instruction set, markers, relations, propagation rules, interconnection network, and granularity. These features are compared to those in NETL and the Connection Machine.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-009.pdf,
9,1990,"Distributedand Parallel Systems",A Parallel Asynchronous Distributed Production System,"James G. Schmolze, Suraj Goel","To speed up production systems, many researchers have turned to parallel implementations. We describe a system called PARS that executes production rules in parallel. PARS is novel because it (1) executes many rules simultaneously, (2) runs in a highly asynchronous fashion, and (3) runs on a distributed memory machine. Item (1) improves available concurrency over systems that only perform the MATCH step in parallel. Item (2) reduces bottlenecks over synchronous parallel production systems. Item (3) makes the techniques more available given the lower cost of distributed versus shared memory machines. The two main problems regarding correctness, namely serialization and the maintenance of consistent distributed databases, are addressed and solved. Estimates of the effectiveness of this approach are also given.",https://aaai.org/Library/AAAI/1990/../../../Papers/AAAI/1990/AAAI90-010.pdf,
